"","Date","TreeID","Species","DBH_cm","Cardinal","Depth_cm","Moisture_vv","Distance","Notes","x","y","running_order"
"3","04/09/2025 09:37",2,"Silver Birch (Betula pendula)",26,"East",13,48.9,"0.5","Near heath with 3m.
Blueberry and heath near tree.",-4.263689516,56.51061822,3
"4","04/09/2025 09:37",2,"Silver Birch (Betula pendula)",26,"East",32.5,70.2,"7","Near heath with 3m.
Blueberry and heath near tree.",-4.263689516,56.51061822,4
"7","04/09/2025 10:01",4,"Downy Birch (Betula pubescens)",9.6,"North",5,48.6,"0.5","Not a breast height for DBH because it is not mature",-4.264062934,56.5109589,7
"8","04/09/2025 10:01",4,"Downy Birch (Betula pubescens)",9.6,"North",36.5,89.7,"7","Not a breast height for DBH because it is not mature",-4.264062934,56.5109589,8
"9","04/09/2025 10:07",5,"Downy Birch (Betula pubescens)",4.9,"East",18.5,36.8,"0.5","Very immature tree, lots of moss and lichen as well but not the dominate.
",-4.264143837,56.51113608,9
"10","04/09/2025 10:07",5,"Downy Birch (Betula pubescens)",4.9,"East",3.7,69.9,"7","Very immature tree, lots of moss and lichen as well but not the dominate.
",-4.264143837,56.51113608,10
"11","04/09/2025 10:15",6,"Silver Birch (Betula pendula)",9.6,"South",25,41.7,"0.5","Mixed in with some moss, near some saplings within 7 m. ",-4.264439475,56.51106653,11
"12","04/09/2025 10:15",6,"Silver Birch (Betula pendula)",9.6,"South",9,33.1,"7","Mixed in with some moss, near some saplings within 7 m. ",-4.264439475,56.51106653,12
"13","04/09/2025 10:26",7,"Silver Birch (Betula pendula)",9.5,"West",32.5,24,"0.5","Some saplings, scattered moss
",-4.264736515,56.51103724,13
"14","04/09/2025 10:26",7,"Silver Birch (Betula pendula)",9.5,"West",11,38.8,"7","Some saplings, scattered moss
",-4.264736515,56.51103724,14
"17","04/09/2025 11:09",9,"Silver Birch (Betula pendula)",6.1,"South",23,90.9,"0.5","Few saplings around, some difficulty with probe in determining depth at this point as well as some off measurements with soil moisture which showed very low readings on clearly wet soil
",-4.263928479,56.50963111,17
"18","04/09/2025 11:09",9,"Silver Birch (Betula pendula)",6.1,"South",34.5,79.9,"7","Few saplings around, some difficulty with probe in determining depth at this point as well as some off measurements with soil moisture which showed very low readings on clearly wet soil
",-4.263928479,56.50963111,18
"19","04/09/2025 11:24",10,"Silver Birch (Betula pendula)",6,"East",15.8,40.4,"0.5","Lots of grass and moss. Very mossy under tree probe shows shallow",-4.263954048,56.5094955,19
"20","04/09/2025 11:24",10,"Silver Birch (Betula pendula)",6,"East",18,74.9,"7","Lots of grass and moss. Very mossy under tree probe shows shallow",-4.263954048,56.5094955,20
"21","04/09/2025 12:06",11,"Silver Birch (Betula pendula)",9.7,"West",10,53.6,"0.5","Deep water out near by fenced off. DBH is on a non mature tree. Top of a hill",-4.264174009,56.50927329,21
"22","04/09/2025 12:06",11,"Silver Birch (Betula pendula)",9.7,"West",11,56.5,"7","Deep water out near by fenced off. DBH is on a non mature tree. Top of a hill",-4.264174009,56.50927329,22
"23","04/09/2025 12:20",12,"Silver Birch (Betula pendula)",3.4,"North",6.5,87.4,"0.5","Area has lots of holes filled with water maybe . 5 meters deep ranging.
Dbh not taken at 1.3 m cause it was very immature.",-4.264550946,56.50885488,23
"24","04/09/2025 12:20",12,"Silver Birch (Betula pendula)",3.4,"North",20,71.4,"7","Area has lots of holes filled with water maybe . 5 meters deep ranging.
Dbh not taken at 1.3 m cause it was very immature.",-4.264550946,56.50885488,24
